DATE,IPG2211N
1991-05-01,68.6759
1991-06-01,76.8455
1991-07-01,82.5666
1991-08-01,81.7244
1991-09-01,75.3929
1991-10-01,68.2241
1991-11-01,68.3656
1991-12-01,72.2233
1992-01-01,76.0481
1992-02-01,72.3039
1992-03-01,68.0411
1992-04-01,65.4798
1992-05-01,66.3412
1992-06-01,72.8321
1992-07-01,80.1271
1992-08-01,79.2738
1992-09-01,74.4471
1992-10-01,68.6131
1992-11-01,69.4282
1992-12-01,75.7875
1993-01-01,77.3627
1993-02-01,74.8487
1993-03-01,70.9496
1993-04-01,66.5927
1993-05-01,67.7680
1993-06-01,76.4855
1993-07-01,85.5847
1993-08-01,85.6825
1993-09-01,77.2358
1993-10-01,69.0654
1993-11-01,70.1495
1993-12-01,75.9946
1994-01-01,81.7458
1994-02-01,76.3717
1994-03-01,71.7723
1994-04-01,67.7824
1994-05-01,69.2582
1994-06-01,80.4569
1994-07-01,86.8037
1994-08-01,85.2588
1994-09-01,78.3087
1994-10-01,71.3116
1994-11-01,71.9394
1994-12-01,77.0680
1995-01-01,81.3128
1995-02-01,77.2316
1995-03-01,73.4608
1995-04-01,69.5680
1995-05-01,72.7452
1995-06-01,81.2129
1995-07-01,90.1285
1995-08-01,94.3376
1995-09-01,81.9546
1995-10-01,74.5187
1995-11-01,74.7349
1995-12-01,80.9579
1996-01-01,86.3458
1996-02-01,82.0918
1996-03-01,78.1071
1996-04-01,72.5769
1996-05-01,76.5570
1996-06-01,84.8621
1996-07-01,90.0706
1996-08-01,90.7513
1996-09-01,82.3047
1996-10-01,74.8656
1996-11-01,76.0919
1996-12-01,81.1300
1997-01-01,86.3215
1997-02-01,79.8898
1997-03-01,75.4243
1997-04-01,71.9886
1997-05-01,72.8349
1997-06-01,82.2209
1997-07-01,92.4618
1997-08-01,91.9710
1997-09-01,85.4094
1997-10-01,78.1471
1997-11-01,77.3167
1997-12-01,83.0999
1998-01-01,84.4554
1998-02-01,79.7157
1998-03-01,79.1546
1998-04-01,73.6955
1998-05-01,79.0996
1998-06-01,89.9276
1998-07-01,98.1685
1998-08-01,97.9782
1998-09-01,91.4911
1998-10-01,81.5737
1998-11-01,78.7539
1998-12-01,85.0018
1999-01-01,90.1733
1999-02-01,82.9341
1999-03-01,82.6555
1999-04-01,77.1376
1999-05-01,80.3160
1999-06-01,91.6456
1999-07-01,102.8901
1999-08-01,101.6691
1999-09-01,91.3211
1999-10-01,81.6486
1999-11-01,80.4295
1999-12-01,87.6454
2000-01-01,91.8978
2000-02-01,85.7477
2000-03-01,82.6395
2000-04-01,78.8570
2000-05-01,85.6374
2000-06-01,94.6497
2000-07-01,100.6059
2000-08-01,104.0057
2000-09-01,94.7755
2000-10-01,84.2097
2000-11-01,84.4273
2000-12-01,93.4904
2001-01-01,97.1844
2001-02-01,88.1802
2001-03-01,85.2337
2001-04-01,80.3688
2001-05-01,83.9540
2001-06-01,94.4120
2001-07-01,100.8625
2001-08-01,104.6334
2001-09-01,92.1494
2001-10-01,83.6285
